port_6,port_7,port_8,port_9,port_10,port_11,port_12,port_13,port_14,port_15,port_16,port_17,port_18,port_19,port_20,port_21,port_22,port_23,port_24,port_25,port_26,port_27,port_28,port_29,port_31,port_32,time,lap_#,event_label
-16.3882724528,-16.8909786792,-16.863609434,-15.8022603774,-13.3869509434,-14.607945283,-14.0060792453,-13.6814509434,-15.3254537736,-15.0834584906,-14.3524554717,-10.7721037736,-13.6956830189,-12.4549283019,-13.1652018868,-12.7408396226,-11.6709169811,-12.4305283019,-12.3781169811,-8.93340754717,-6.40146037736,-6.34166981132,-6.80756792453,-6.49532264151,-5.79370566038,-5.82168113208,2124.4,lap_10,event_7
-17.0707924528,-17.8225486792,-18.051709434,-17.4118603774,-15.0062709434,-16.146645283,-15.9871792453,-15.3956509434,-16.7562037736,-16.5513584906,-16.3034554717,-12.7599037736,-15.7413830189,-14.5989283019,-15.0847018868,-14.8547396226,-14.6170169811,-14.7652283019,-15.1033169811,-11.8712075472,-11.3096603774,-9.89866981132,-10.0295679245,-9.66852264151,-8.64570566038,-9.32098113208,2124.7,lap_10,event_7
-18.2650924528,-18.5672886792,-18.900309434,-18.3060603774,-15.3654009434,-17.001445283,-16.1671792453,-16.0813509434,-17.1139037736,-17.2852584906,-17.1904554717,-13.5881037736,-15.9119030189,-14.7775283019,-16.4807018868,-15.5594396226,-15.1694169811,-15.6631283019,-15.4666169811,-12.5624075472,-11.8173903774,-10.8686698113,-10.3687679245,-10.5035226415,-9.48450566038,-10.3206811321,2125.0,lap_10,event_7
-19.1181924528,-19.3119886792,-19.918709434,-18.4849603774,-15.5449609434,-17.343345283,-16.3472792453,-16.5955509434,-18.0082037736,-17.6521584906,-17.3674554717,-13.2568037736,-15.9119030189,-14.7775283019,-16.1317018868,-15.2071396226,-15.1694169811,-15.1244283019,-15.1033169811,-11.6984075472,-10.2941603774,-9.89866981132,-10.1991679245,-9.50152264151,-8.98120566038,-9.15428113208,2125.3,lap_10,event_7
-19.1181924528,-19.4981886792,-19.579309434,-18.4849603774,-15.3654009434,-17.001445283,-16.5273792453,-16.5955509434,-17.2928037736,-16.9182584906,-17.3674554717,-12.9255037736,-15.4004830189,-14.4202283019,-16.3062018868,-15.3832396226,-15.5377169811,-15.1244283019,-15.4666169811,-11.8712075472,-10.6326603774,-9.73696981132,-10.1991679245,-10.3365226415,-8.31020566038,-9.15428113208,2125.6,lap_10,event_7
-20.3124924528,-21.1737886792,-21.276609434,-19.7368603774,-17.1610509434,-18.882145283,-18.1482792453,-17.7955509434,-19.4390037736,-19.4870584906,-19.1404554717,-14.7477037736,-17.7855830189,-16.9215283019,-18.5748018868,-17.8495396226,-17.3790169811,-17.6387083019,-17.4643969811,-14.1177075472,-12.6636603774,-12.0004198113,-11.5558679245,-11.0045226415,-9.98780566038,-10.4873811321,2126.0,lap_10,event_7
-20.9949924528,-21.9184886792,-22.294909434,-21.7037203774,-18.5975509434,-19.907945283,-19.9492192453,-19.8521509434,-21.2275037736,-20.7713684906,-20.2044554717,-16.0729037736,-19.3176830189,-18.1696283019,-19.2727918868,-18.2015396226,-18.4835069811,-18.8946783019,-18.3711169811,-13.9449075472,-12.6636603774,-11.8387598113,-12.4036679245,-12.0066226415,-9.98780566038,-10.8206811321,2126.3,lap_10,event_7
-20.8243924528,-21.7322886792,-22.125209434,-20.9887903774,-17.6996509434,-19.395045283,-18.6885792453,-18.4811509434,-19.6178037736,-19.8539584906,-19.4954554717,-14.9133037736,-17.4451730189,-16.2068683019,-18.2258018868,-16.7925396226,-17.0108169811,-16.3816283019,-16.5566769811,-12.7352075472,-10.8018603774,-11.0303698113,-10.7079679245,-10.6705226415,-9.48450566038,-10.3206811321,2126.6,lap_10,event_7
-19.4593924528,-20.6152886792,-20.597609434,-19.9157603774,-16.8018509434,-18.540145283,-18.1482792453,-17.6240509434,-18.7236037736,-19.1200584906,-19.1404554717,-14.2507037736,-16.9345030189,-16.0282083019,-18.2258018868,-17.4972396226,-17.3790169811,-17.2795283019,-16.9200169811,-14.2905075472,-12.4944003774,-12.3237998113,-12.7428679245,-11.6725226415,-9.82000566038,-10.3206811321,2126.9,lap_10,event_7
-20.1418924528,-20.9875886792,-21.276609434,-20.6311003774,-17.1610509434,-18.540145283,-18.1482792453,-17.6240509434,-19.2601037736,-18.9365584906,-19.1404554717,-15.4103037736,-17.9558830189,-17.6347483019,-19.4472918868,-18.3775396226,-18.8510769811,-18.3568183019,-18.5524169811,-15.3273975472,-14.0152603774,-14.0990698113,-13.9299579245,-13.1756126415,-12.6720056604,-12.9867811321,2127.2,lap_10,event_7
-21.1655924528,-22.2908886792,-22.294909434,-20.4522303774,-17.6996509434,-19.053045283,-18.6885792453,-18.4811509434,-19.6178037736,-19.4870584906,-19.4954554717,-14.4164037736,-17.6154030189,-16.2068683019,-17.5278018868,-16.7925396226,-16.4583169811,-16.3816283019,-16.7383269811,-12.7352075472,-11.3096603774,-11.1920698113,-11.0470679245,-11.0045226415,-8.81340566038,-9.48758113208,2127.6,lap_10,event_7
-22.7011924528,-23.4079886792,-23.483509434,-22.5971603774,-19.3157509434,-21.275645283,-21.0292992453,-20.8811509434,-21.9429037736,-22.4196584906,-21.6234554717,-17.3981037736,-21.3602830189,-20.4876283019,-22.2340018868,-22.0775396226,-22.1592169811,-21.9425283019,-21.0912169811,-16.7072075472,-14.0152603774,-13.7763698113,-14.0995279245,-13.1756126415,-11.3299056604,-12.6534811321,2127.9,lap_10,event_7
-21.5068924528,-22.2908886792,-22.464709434,-20.8099203774,-17.6996509434,-19.736945283,-19.4088792453,-19.1671509434,-20.1544037736,-19.8539584906,-20.0274554717,-15.4103037736,-17.9558830189,-16.9215283019,-18.9237818868,-17.4972396226,-17.1949169811,-17.0999283019,-17.1017169811,-13.9449075472,-12.6636603774,-12.3237998113,-12.5733679245,-12.0066226415,-10.3233056604,-11.3204811321,2128.2,lap_10,event_7
